Catalog Num,Course Level,Grade Group,Section,Subject,sumHeadcount
1000,1000-1999,Other,1,ME EN - Mechanical Engineering,1
1000,1000-1999,W,1,ME EN - Mechanical Engineering,2
1000,1000-1999,E,1,ME EN - Mechanical Engineering,2
1000,1000-1999,D,1,ME EN - Mechanical Engineering,7
1000,1000-1999,C,1,ME EN - Mechanical Engineering,14
1000,1000-1999,B,1,ME EN - Mechanical Engineering,53
1000,1000-1999,A,1,ME EN - Mechanical Engineering,88
1005,1000-1999,W,1,ME EN - Mechanical Engineering,1
1005,1000-1999,E,1,ME EN - Mechanical Engineering,1
1005,1000-1999,C,1,ME EN - Mechanical Engineering,1
1005,1000-1999,B,1,ME EN - Mechanical Engineering,1
1005,1000-1999,A,1,ME EN - Mechanical Engineering,10
1300,1000-1999,W,1,ME EN - Mechanical Engineering,8
1300,1000-1999,E,1,ME EN - Mechanical Engineering,14
1300,1000-1999,D,1,ME EN - Mechanical Engineering,6
1300,1000-1999,C,1,ME EN - Mechanical Engineering,24
1300,1000-1999,B,1,ME EN - Mechanical Engineering,34
1300,1000-1999,A,1,ME EN - Mechanical Engineering,22
2020,2000-2999,D,1,ME EN - Mechanical Engineering,1
2020,2000-2999,C,1,ME EN - Mechanical Engineering,5
2020,2000-2999,B,1,ME EN - Mechanical Engineering,10
2020,2000-2999,A,1,ME EN - Mechanical Engineering,3
2080,2000-2999,E,1,ME EN - Mechanical Engineering,3
2080,2000-2999,C,1,ME EN - Mechanical Engineering,3
2080,2000-2999,B,1,ME EN - Mechanical Engineering,9
2080,2000-2999,A,1,ME EN - Mechanical Engineering,11
2500,2000-2999,W,1,ME EN - Mechanical Engineering,1
2500,2000-2999,E,1,ME EN - Mechanical Engineering,3
2500,2000-2999,D,1,ME EN - Mechanical Engineering,2
2500,2000-2999,C,1,ME EN - Mechanical Engineering,18
2500,2000-2999,B,1,ME EN - Mechanical Engineering,59
2500,2000-2999,A,1,ME EN - Mechanical Engineering,39
2655,2000-2999,A,6,ME EN - Mechanical Engineering,ds
2655,2000-2999,A,5,ME EN - Mechanical Engineering,ds
2655,2000-2999,A,4,ME EN - Mechanical Engineering,ds
2655,2000-2999,A,2,ME EN - Mechanical Engineering,ds
2660,2000-2999,B,1,ME EN - Mechanical Engineering,2
2660,2000-2999,A,3,ME EN - Mechanical Engineering,7
2660,2000-2999,A,2,ME EN - Mechanical Engineering,6
2660,2000-2999,A,1,ME EN - Mechanical Engineering,5
2950,2000-2999,Other,4,ME EN - Mechanical Engineering,ds
2950,2000-2999,A,3,ME EN - Mechanical Engineering,ds
2950,2000-2999,A,2,ME EN - Mechanical Engineering,ds
2960,2000-2999,W,1,ME EN - Mechanical Engineering,ds
2960,2000-2999,A,3,ME EN - Mechanical Engineering,6
2960,2000-2999,A,1,ME EN - Mechanical Engineering,ds
3200,3000-3999,W,1,ME EN - Mechanical Engineering,3
3200,3000-3999,E,1,ME EN - Mechanical Engineering,2
3200,3000-3999,D,1,ME EN - Mechanical Engineering,6
3200,3000-3999,C,1,ME EN - Mechanical Engineering,28
3200,3000-3999,B,1,ME EN - Mechanical Engineering,83
3200,3000-3999,A,1,ME EN - Mechanical Engineering,37
3300,3000-3999,W,1,ME EN - Mechanical Engineering,3
3300,3000-3999,E,1,ME EN - Mechanical Engineering,93
3600,3000-3999,W,1,ME EN - Mechanical Engineering,3
3600,3000-3999,E,1,ME EN - Mechanical Engineering,9
3600,3000-3999,D,1,ME EN - Mechanical Engineering,14
