Catalog Num,Course Level,Grade Group,Section,Subject,sumHeadcount
1000,1000-1999,W,11,ME EN - Mechanical Engineering,2
1000,1000-1999,W,1,ME EN - Mechanical Engineering,5
1000,1000-1999,E,11,ME EN - Mechanical Engineering,2
1000,1000-1999,E,1,ME EN - Mechanical Engineering,2
1000,1000-1999,D,11,ME EN - Mechanical Engineering,2
1000,1000-1999,D,1,ME EN - Mechanical Engineering,2
1000,1000-1999,C,11,ME EN - Mechanical Engineering,4
1000,1000-1999,C,1,ME EN - Mechanical Engineering,5
1000,1000-1999,B,11,ME EN - Mechanical Engineering,19
1000,1000-1999,B,1,ME EN - Mechanical Engineering,38
1000,1000-1999,A,11,ME EN - Mechanical Engineering,20
1000,1000-1999,A,1,ME EN - Mechanical Engineering,62
1005,1000-1999,Other,1,ME EN - Mechanical Engineering,1
1005,1000-1999,E,1,ME EN - Mechanical Engineering,1
1005,1000-1999,C,1,ME EN - Mechanical Engineering,2
1005,1000-1999,B,1,ME EN - Mechanical Engineering,9
1005,1000-1999,A,1,ME EN - Mechanical Engineering,8
1010,1000-1999,W,1,ME EN - Mechanical Engineering,4
1010,1000-1999,E,1,ME EN - Mechanical Engineering,2
1010,1000-1999,D,1,ME EN - Mechanical Engineering,5
1010,1000-1999,C,1,ME EN - Mechanical Engineering,10
1010,1000-1999,B,1,ME EN - Mechanical Engineering,11
1010,1000-1999,A,1,ME EN - Mechanical Engineering,18
1300,1000-1999,W,1,ME EN - Mechanical Engineering,9
1300,1000-1999,E,1,ME EN - Mechanical Engineering,12
1300,1000-1999,D,1,ME EN - Mechanical Engineering,10
1300,1000-1999,C,1,ME EN - Mechanical Engineering,22
1300,1000-1999,B,1,ME EN - Mechanical Engineering,29
1300,1000-1999,A,1,ME EN - Mechanical Engineering,20
2020,2000-2999,D,1,ME EN - Mechanical Engineering,1
2020,2000-2999,C,1,ME EN - Mechanical Engineering,6
2020,2000-2999,B,1,ME EN - Mechanical Engineering,2
2020,2000-2999,A,1,ME EN - Mechanical Engineering,2
2080,2000-2999,E,1,ME EN - Mechanical Engineering,1
2080,2000-2999,D,1,ME EN - Mechanical Engineering,2
2080,2000-2999,C,1,ME EN - Mechanical Engineering,10
2080,2000-2999,B,1,ME EN - Mechanical Engineering,21
2080,2000-2999,A,1,ME EN - Mechanical Engineering,9
2300,2000-2999,W,90,ME EN - Mechanical Engineering,2
2300,2000-2999,W,1,ME EN - Mechanical Engineering,2
2300,2000-2999,E,90,ME EN - Mechanical Engineering,1
2300,2000-2999,E,1,ME EN - Mechanical Engineering,5
2300,2000-2999,D,1,ME EN - Mechanical Engineering,3
2300,2000-2999,C,90,ME EN - Mechanical Engineering,3
2300,2000-2999,C,1,ME EN - Mechanical Engineering,16
2300,2000-2999,B,90,ME EN - Mechanical Engineering,2
2300,2000-2999,B,1,ME EN - Mechanical Engineering,15
2300,2000-2999,A,90,ME EN - Mechanical Engineering,3
2300,2000-2999,A,1,ME EN - Mechanical Engineering,9
2450,2000-2999,W,1,ME EN - Mechanical Engineering,1
2450,2000-2999,E,1,ME EN - Mechanical Engineering,2
2450,2000-2999,D,1,ME EN - Mechanical Engineering,5
2450,2000-2999,C,1,ME EN - Mechanical Engineering,7
2450,2000-2999,B,1,ME EN - Mechanical Engineering,29
2450,2000-2999,A,1,ME EN - Mechanical Engineering,45
2650,2000-2999,E,1,ME EN - Mechanical Engineering,5
2650,2000-2999,D,1,ME EN - Mechanical Engineering,11
2650,2000-2999,C,1,ME EN - Mechanical Engineering,19
2650,2000-2999,B,1,ME EN - Mechanical Engineering,20
2650,2000-2999,A,1,ME EN - Mechanical Engineering,8
2950,2000-2999,B,3,ME EN - Mechanical Engineering,ds
2950,2000-2999,A,3,ME EN - Mechanical Engineering,ds
2960,2000-2999,A,3,ME EN - Mechanical Engineering,5
2960,2000-2999,A,1,ME EN - Mechanical Engineering,6
3000,3000-3999,W,1,ME EN - Mechanical Engineering,1
3000,3000-3999,E,1,ME EN - Mechanical Engineering,3
3000,3000-3999,D,1,ME EN - Mechanical Engineering,4
3000,3000-3999,C,1,ME EN - Mechanical Engineering,17
3000,3000-3999,B,1,ME EN - Mechanical Engineering,24
3000,3000-3999,A,1,ME EN - Mechanical Engineering,9
3200,3000-3999,W,1,ME EN - Mechanical Engineering,1
3200,3000-3999,D,1,ME EN - Mechanical Engineering,4
3200,3000-3999,C,1,ME EN - Mechanical Engineering,17
3200,3000-3999,B,1,ME EN - Mechanical Engineering,73
3200,3000-3999,A,1,ME EN - Mechanical Engineering,44
3210,3000-3999,Other,1,ME EN - Mechanical Engineering,1
3210,3000-3999,W,1,ME EN - Mechanical Engineering,1
3210,3000-3999,E,1,ME EN - Mechanical Engineering,1
3210,3000-3999,D,1,ME EN - Mechanical Engineering,10
3210,3000-3999,C,1,ME EN - Mechanical Engineering,18
3210,3000-3999,B,1,ME EN - Mechanical Engineering,21
3210,3000-3999,A,1,ME EN - Mechanical Engineering,11
3300,3000-3999,W,1,ME EN - Mechanical Engineering,1
3300,3000-3999,E,1,ME EN - Mechanical Engineering,4
3300,3000-3999,D,1,ME EN - Mechanical Engineering,10
3300,3000-3999,C,1,ME EN - Mechanical Engineering,26
